genes	TCGA-55-8615-01A-11R-2403-07	TCGA-50-5051-01A-21R-1858-07	TCGA-NJ-A7XG-01A-12R-A39D-07	TCGA-91-6848-01A-11R-1949-07	TCGA-MP-A4T8-01A-11R-A24X-07	TCGA-55-6970-01A-11R-1949-07	TCGA-86-8359-01A-11R-2326-07	TCGA-64-1679-01A-21R-2066-07	TCGA-50-6595-01A-12R-1858-07	TCGA-99-8025-01A-11R-2241-07	TCGA-50-6594-01A-11R-1755-07	TCGA-64-1677-01A-01R-0946-07	TCGA-05-5420-01A-01R-1628-07	TCGA-75-5126-01A-01R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-99-7458-01A-11R-2039-07	TCGA-MP-A4TC-01A-11R-A24X-07	TCGA-05-4384-01A-01R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-95-A4VP-01A-21R-A262-07
ENSG00000003096	119.396230859217	104.933265834655	138.210802296291	262.550843651463	171.43915884515	180.61931955276	190.908965351452	551.650551485972	155.038366390011	232.36717502558	525.836267968413	183.130317371088	83.5529531028201	191.619765230312	126.549955987072	195.069943702469	280.693790608221	206.825045700344	170.504958715662	117.600791260525
ENSG00000003137	45.9372281752351	63.115116221791	166.932507552011	104.273244389735	78.2939280255285	135.008192640563	115.224745915741	520.819474872756	107.732889977995	194.749466278452	244.081309972923	323.916665744286	309.384269684005	166.950200717545	98.4796618670089	273.383773887337	162.008580437915	139.37396127022	243.751732664943	123.466935151689
ENSG00000003147	1549.69725221426	2170.94033453585	1106.01874950487	1241.99938253235	1052.8711977018	1244.09111711202	3121.43525937943	1940.43981617767	4468.36010791034	858.661536281616	1818.75876144591	1110.06871357026	2323.08048649306	1444.46905020494	1600.27680093536	1246.08912512985	1268.98208597975	2091.92569337381	2093.83082419744	1355.91214535792
ENSG00000003249	995.672493392695	2321.16458282028	829.677618840246	1157.87035606597	605.214245253142	1349.92184595677	1102.78956557786	1963.65915656682	1762.01422175969	1455.10813880468	663.174645863125	1473.29172227952	1745.10383516779	2161.20201175309	1492.93718416019	844.221479832312	1555.42694849469	1641.18409123522	2007.13813157563	2244.09943610231
ENSG00000003393	1261.41443052944	1169.529726866	1056.75411690111	2031.50751090707	1590.30057841691	1868.92644596659	1059.2081091444	927.913370809699	1180.67117740184	826.786895871939	1219.36017884731	970.659893730563	1392.82011349759	1253.80643616253	890.579192220958	848.958128110883	1019.556519998	832.383316763326	1253.48643928817	1180.19944480583
ENSG00000003400	842.105842210233	1279.85574160404	1893.70098876727	1851.519515151	1104.89804766179	1680.54675284207	1062.19732634507	1428.59842743355	1787.22446942773	1514.40609429381	3960.68913533914	1641.25181946964	2274.17635218121	1449.08107614429	1163.54628688051	1204.6295720859	954.687306124788	1067.12192416579	1923.86505943237	1559.0998431747
ENSG00000003402	5584.89184140951	6955.67641330789	4807.58271022352	8148.17884184332	6106.1886662176	8608.38160674387	8124.14766751125	7551.01617054809	4436.11700448596	8311.3887430576	9406.38740741576	6347.13264083201	9093.01425807058	7060.64918156682	6796.43839703303	7501.18815940734	7576.63723316357	4831.32861999426	6868.04710903194	6427.08289985547
ENSG00000003436	20410.4052501396	16513.1150307558	10971.428382223	7711.96564058861	10203.1135182857	10327.764744677	30030.3847536749	29012.1408645882	6685.66778769514	9783.89606733462	24675.2092000411	3529.93665973771	23514.6719727869	20740.5306077793	2101.00050033895	7014.15839524066	25423.6701737168	14010.4044821766	6856.21439743536	10648.9270099687
ENSG00000003509	565.942758031462	425.165849136174	567.246315549977	727.312436754048	678.783047655933	529.618130890424	970.599561397374	431.039389266469	485.852766944098	694.246658580527	503.612568039686	611.883423159437	524.33044045962	481.573541730929	345.5677078005	699.694515861827	522.03243729415	551.080124757577	688.497744294522	535.668300646322
ENSG00000003756	1816.15081559269	2318.41274967067	1693.83935449715	1725.88374756299	1683.99420612314	2022.70669610664	1693.98048424269	1766.51649871843	1816.9172339622	2172.44231325076	2313.51766171374	2836.83285067009	2188.46290907998	1611.58646640361	2197.02506028474	2155.3813563523	1856.71129948314	2289.56297663323	1945.11853590447	2605.21121288602
ENSG00000003987	752.458458120588	146.174649234853	40.281295369719	80.0568184485814	33.5594132258613	51.5685449499345	36.0561559390489	71.0468215509248	60.969502351832	65.3323313389968	34.8860306046288	24.5325379462858	35.910505315278	21.8117807365219	58.1000216039142	43.9383402872365	33.8593547656878	47.3993676487161	75.2651134091424	231.904288521965
ENSG00000003989	1469.5661457877	7768.17380909897	2968.62832362906	4946.15336278635	3010.19813454611	5444.41308576362	1056.36436638775	4036.60135677047	841.111821790734	677.627676395269	4696.76448535298	664.273834909723	2732.4280433326	1601.32759394851	2212.47420703585	3461.29621800915	7487.15637177926	4481.40867132141	2558.94985416809	1900.37773219331
ENSG00000004059	4332.13489105365	5554.40889030408	5123.81877004665	4395.31103660625	4809.37780893834	4736.12531945894	3492.01571458519	4983.12324184244	4682.67469021195	5866.93234808066	4671.96142231665	4298.73608964899	4607.67686765552	6440.78031361434	4534.85536555763	4506.44084184885	4316.78357878848	4249.10576329932	5743.12397494489	3901.68675862497
ENSG00000004139	254.573287263905	150.678162544695	251.010236946492	163.147335221358	184.298408920613	140.970581364621	129.295598173701	164.775160345755	182.493882934738	207.605702827101	60.2413486853732	154.007535850731	183.533682890603	271.751015748315	157.908420009245	148.616968150788	174.435433717579	180.669570223171	147.0109897584	88.3139844303488
ENSG00000004142	7849.94040462029	5779.89828039794	6466.86848246802	7166.00622283807	8072.38470499249	4960.63216045241	5133.15892502171	5920.08781633264	6579.22304354732	6653.93867510328	4439.77732174661	5545.84185686562	5948.6341710202	7012.37100599303	6696.06517754957	5706.63685311043	5192.81381942345	7203.84947048435	7294.70437467693	4317.51384029404
ENSG00000004399	6274.0774608224	12387.2086275522	19241.8700035443	8609.43352033461	19808.3725601617	6518.07236931065	8562.4084804507	9276.17495547139	16506.060552467	9619.4398220562	4225.29698464851	12833.8496393702	7529.75693901131	7687.30045815619	10571.6534466091	6957.04866291021	12122.7597455714	9274.58760119947	4250.32417191446	12746.4551794463
ENSG00000004455	4553.31384627875	7749.84935509452	4336.53607084777	5596.9981944489	13109.444211579	4577.96376212068	6150.39251933256	5427.92547850786	6644.74933883019	4691.82354904977	3931.25674695471	6062.15389492425	7119.01074243389	7055.58466012906	6240.98471779859	8239.60244651126	5012.35977964241	6840.5198309976	6500.4565523853	8008.07153992116
ENSG00000004468	130.322762106481	352.500498988701	1352.59303162937	780.615300237685	859.665053036257	367.643553679495	1699.41953745776	2680.53158705627	354.22172466426	992.92067531428	472.364860862493	533.096271852934	392.608618902775	545.768850789412	476.969057784669	352.236549730311	954.790674577493	865.286053770378	340.291107148835	363.435742177357
ENSG00000004478	6155.75597733353	5266.17551085001	3634.90416235744	4513.9476346965	3807.22619780674	3811.56592552679	3137.3593384099	4444.42411141615	4016.32336658504	5699.79598565156	1874.1854490427	4680.79183443684	3847.52077166307	6947.21855740479	5666.46122191526	4240.82962727362	3649.86492703217	3139.47683710697	2832.87771805367	4818.11897803581
ENSG00000004487	3826.73582370915	3398.63067395924	3469.11353110592	8152.93611540839	7361.38429869294	4022.41926214008	6121.95147724486	4267.44903837399	2286.21696765858	4109.79915336224	4361.76017228151	3882.1798748981	4029.57065561683	4548.90932026831	3747.08713562732	4369.83891526779	3067.94030853047	5662.29322055766	4081.90709949915	4754.56752418463
ENSG00000004534	2354.4318544343	2654.75284995086	2120.62537718403	2940.92734340904	2041.50018216182	2251.45309667228	2989.36320335243	1378.81838243905	2488.90529145574	2694.37348325147	2433.47775295539	4107.44599326737	2068.74509053688	1822.49567792084	2858.22281326492	2313.08924480505	2048.38656912202	2727.23875241687	2210.91572141315	2746.25229245218
ENSG00000004660	699.327007715045	236.887260980764	365.494321267975	214.875783070372	342.309965090552	250.195355539687	703.769110522518	235.218879231062	260.049039127426	317.342281896819	491.452002888383	593.786602166207	504.708811277274	249.879182222248	438.518616050121	338.583273167164	273.828188969989	265.867879055975	288.17982093008	271.021460878222
ENSG00000004700	767.69838982073	800.54553644256	1079.07546351716	1223.59962308846	627.815964079468	727.40602286975	799.577538889196	978.743742738064	742.139499390801	635.261069790069	619.57547741634	487.315180175024	1204.61309142326	791.992950909652	702.240713120553	737.036763662233	1003.87150744156	738.048149925794	1965.70097234185	1183.95107065982
ENSG00000004766	1245.0859850953	972.852843910614	1271.09606578305	1705.2376988044	1475.72057020007	1255.26579972933	1295.27163011465	1102.81118672158	1279.26230026252	1381.38435569026	846.199579843017	865.016068378702	1208.37723096899	1773.76224128619	1114.97140017841	949.193426770284	1167.72182011589	1097.82667894359	1356.91154514983	1076.57864715021
ENSG00000004776	180.430177399302	102.86334187215	28.382231701812	153.232672694501	365.284476873756	261.423878313558	146.309741435835	209.55571681745	172.142342136595	174.355424529173	3380.82699683386	81.6225836927014	195.325748129954	289.736462015065	269.25137272616	263.884279761507	188.456956417157	298.14400829081	161.442698017701	116.797968670464
ENSG00000004777	361.998960513251	317.657503844591	361.46465181741	257.949433586237	199.956821293908	378.958771901002	354.993738352497	263.126758933478	405.675564138485	285.373051531166	619.396997076912	312.651369873228	516.523073232067	411.782670996666	378.13339803349	246.89129564839	432.69163572166	352.05267391361	327.677816785711	397.002842371969
ENSG00000004779	1782.82839769194	1896.29490120477	2263.39379295968	2739.96038673113	1874.99634881644	2468.15545349384	2503.34081865637	3116.85658829574	2924.59517120175	3145.55830982135	2838.28952571738	2784.1210095416	2200.52064887634	2653.54108378572	2056.20636460698	3274.877533225	2654.39769033232	2462.0367817194	1844.90308424487	2332.00871005479
ENSG00000004799	1796.91149886337	1006.48185944483	1863.7425469426	682.818779804403	2193.21376753867	1629.87876077941	3508.10081454962	1232.52582110894	1336.00358271778	2646.60674267631	3720.4082875747	1600.67823016673	7280.40153375127	2208.64942172159	1770.11123441224	1219.79496782914	1160.5181315869	1805.70615968522	2278.23970261513	818.739209747654
ENSG00000004809	3.69615116305774	2.59322347683831	3.84909456044608	9.41734118262579	2.389034668596	9.34247525411453	5.57183696872137	3.41085602674529	6.0654830082948	76.9336160659717	10.6898945002438	3.7578356483431	6.13993914843808	3.63119852743576	12.0531396441091	4.28742477577837	8.99016142314725	4.53422949059079	1.57972910314681	2.96712823075697
